bank,period,equity
ABSA,1,1
ABSA,2,0.381480703
ABSA,3,0.335791154
ABSA,4,0.323205633
ABSA,5,0.319585638
ABSA,6,0.318548101
ABSA,7,0.3182512
African Bank,1,1
African Bank,2,0.943962647
African Bank,3,0.899209263
African Bank,4,0.883263569
African Bank,5,0.878473377
African Bank,6,0.877083778
African Bank,7,0.876684768
BNP,1,1
BNP,2,1
BNP,3,0.89525732
BNP,4,0.861532829
BNP,5,0.851650156
BNP,6,0.84881077
BNP,7,0.847997969
BoC,1,1
BoC,2,0.705050497
BoC,3,0.659023975
BoC,4,0.64517525
BoC,5,0.641095221
BoC,6,0.639919083
BoC,7,0.639581998
CAPITEC,1,1
CAPITEC,2,0.985092363
CAPITEC,3,0.97943748
CAPITEC,4,0.97774059
CAPITEC,5,0.97724834
CAPITEC,6,0.977106995
CAPITEC,7,0.97696567
CHARTERED,1,1
CHARTERED,2,0.766514032
CHARTERED,3,0.732371136
CHARTERED,4,0.721947988
CHARTERED,5,0.718846297
CHARTERED,6,0.717949688
CHARTERED,7,0.717692531
CITYBANK,1,1
CITYBANK,2,0
CITYBANK,3,0
CITYBANK,4,0
CITYBANK,5,0
CITYBANK,6,0
CITYBANK,7,0
DB,1,1
DB,2,0.374136664
DB,3,0.339699542
DB,4,0.328703827
DB,5,0.325459346
DB,6,0.324525426
DB,7,0.324257944
FNB,1,1
FNB,2,0.324535435
FNB,3,0.24199802
FNB,4,0.21684178
FNB,5,0.209518302
FNB,6,0.207412958
FNB,7,0.206809996
Grindrod,1,1
Grindrod,2,1
Grindrod,3,0.903452759
Grindrod,4,0.874109024
Grindrod,5,0.865335279
Grindrod,6,0.862791038
Grindrod,7,0.862060551
HSBC,1,1
HSBC,2,0.748138737
HSBC,3,0.637244167
HSBC,4,0.600935859
HSBC,5,0.590012195
HSBC,6,0.586843395
HSBC,7,0.58593359
INVESTEC,1,1
INVESTEC,2,0.648563549
INVESTEC,3,0.584264016
INVESTEC,4,0.565278145
INVESTEC,5,0.559771496
INVESTEC,6,0.558190264
INVESTEC,7,0.557737559
JpM,1,1
JpM,2,0.93644639
JpM,3,0.853279575
JpM,4,0.825626369
JpM,5,0.817459169
JpM,6,0.815107902
JpM,7,0.81443447
NEDBANK,1,1
NEDBANK,2,0.385508085
NEDBANK,3,0.323588755
NEDBANK,4,0.305076039
NEDBANK,5,0.299711193
NEDBANK,6,0.29817114
NEDBANK,7,0.296639
SBSA,1,1
SBSA,2,0.425152894
SBSA,3,0.327316211
SBSA,4,0.297512904
SBSA,5,0.288880312
SBSA,6,0.286403018
SBSA,7,0.285693908
SOCIETE,1,1
SOCIETE,2,0.563100972
SOCIETE,3,0.536125102
SOCIETE,4,0.528190555
SOCIETE,5,0.525838624
SOCIETE,6,0.525159091
SOCIETE,7,0.524964221
