,current_step,system_TAS,system_assets,system_equity,system_equity_losses,system_debt
0,0,-5.9187025102e+11,2.27100706683e+12,1.53597768011e+11,-51394849299.9,2.11740929882e+12
1,1,-9.69572073933e+11,7.305860888e+11,49583262305.5,-78610470999.8,6.81002826495e+11
2,1,-2.6454779968e+11,4.4686552226e+11,30410495445.8,-78610470999.8,4.16455026814e+11
