,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock
0,0,-0.0,3.451829034e+11,4.39807297093e+12,0.0,1.20933548566e+11,4.74325587433e+12,0.0,0.0,3.451829034e+11,1.0
1,1,0.159625278715,3.451829034e+11,3.62606009751e+12,-55099917162.8,21975443770.1,3.79208246394e+12,0.519030737624,-8.07495896487e+11,1.66022366433e+11,0.480969262376
2,2,0.0566825448524,3.451829034e+11,3.36912753576e+12,-19565845404.3,10468867452.4,3.50372841692e+12,0.610059247328,-2.56932561789e+11,1.34600881161e+11,0.389940752672
3,3,0.017031320934,3.451829034e+11,3.29206534447e+12,-5878920808.72,8453808125.07,3.41685587373e+12,0.638479982555,-77062191297.7,1.24790529259e+11,0.361520017445
4,4,0.00494129231703,3.451829034e+11,3.26971329211e+12,-1705649628.54,7854066288.43,3.39162222967e+12,0.646827996522,-22352052366.3,1.2190893756e+11,0.353172003478
5,5,0.00141890403734,3.451829034e+11,3.26329537452e+12,-489781415.256,7680564521.3,3.38437372024e+12,0.649234233434,-6417917592.84,1.21078345717e+11,0.350765766566
6,6,0.000406230078282,3.451829034e+11,3.26145797998e+12,-140223677.87,7630784434.73,3.38229826564e+12,0.649923896952,-1837394537.69,1.20840285661e+11,0.350076103048
7,7,0.00011620380381,3.451829034e+11,3.26093238944e+12,-40111566.3851,7616535854.42,3.38170455537e+12,0.650121240837,-525590540.934,1.20772165926e+11,0.349878759163
