,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock,asset_class,shock
33,1,0.004732313,3.45e+11,4.38e+12,-1633513672.0,99221528188.0,4.68e+12,0.126532228,-22922480345.0,3.02e+11,0.873467772,m_14,-0.095338938
34,2,0.000104831,3.45e+11,4.37e+12,-36186004.87,98056959977.0,4.67e+12,0.130855506,-514792417.6,3e+11,0.869144494,m_14,-0.095338938
35,3,2.5e-06,3.45e+11,4.37e+12,-863850.748,98026293752.0,4.67e+12,0.130952221,-12310560.71,3e+11,0.869047779,m_14,-0.095338938
36,4,6.03e-08,3.45e+11,4.37e+12,-20824.62964,98025584965.0,4.67e+12,0.130954532,-296827.146,3e+11,0.869045468,m_14,-0.095338938
37,5,1.46e-09,3.45e+11,4.37e+12,-502.5919736,98025567949.0,4.67e+12,0.130954588,-7163.940845,3e+11,0.869045412,m_14,-0.095338938
38,6,3.51e-11,3.45e+11,4.37e+12,-12.13142724,98025567538.0,4.67e+12,0.130954589,-172.9217064,3e+11,0.869045411,m_14,-0.095338938
39,7,8.48e-13,3.45e+11,4.37e+12,-0.292829607,98025567528.0,4.67e+12,0.130954589,-4.174002792,3e+11,0.869045411,m_14,-0.095338938
40,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.107567024
41,1,0.005339276,3.45e+11,4.37e+12,-1843026654.0,96518293546.0,4.67e+12,0.142715244,-25862496890.0,2.96e+11,0.857284756,m_14,-0.107567024
42,2,0.00011346,3.45e+11,4.37e+12,-39164374.76,95220717133.0,4.67e+12,0.147585155,-557442136.7,2.94e+11,0.852414845,m_14,-0.107567024
43,3,2.61e-06,3.45e+11,4.37e+12,-899453.0055,95187356890.0,4.67e+12,0.147689693,-12825300.75,2.94e+11,0.852310307,m_14,-0.107567024
44,4,6.05e-08,3.45e+11,4.37e+12,-20870.15588,95186616056.0,4.67e+12,0.147692097,-297650.2251,2.94e+11,0.852307903,m_14,-0.107567024
45,5,1.4e-09,3.45e+11,4.37e+12,-484.8428423,95186598941.0,4.67e+12,0.147692153,-6914.999577,2.94e+11,0.852307847,m_14,-0.107567024
46,6,3.26e-11,3.45e+11,4.37e+12,-11.2651745,95186598544.0,4.67e+12,0.147692154,-160.6683494,2.94e+11,0.852307846,m_14,-0.107567024
47,7,7.58e-13,3.45e+11,4.37e+12,-0.261747195,95186598534.0,4.67e+12,0.147692154,-3.733142689,2.94e+11,0.852307846,m_14,-0.107567024
48,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.141981483
49,1,0.007047497,3.45e+11,4.36e+12,-2432675434.0,88910368774.0,4.64e+12,0.188204369,-34136815502.0,2.8e+11,0.811795631,m_14,-0.141981483
50,2,0.000131865,3.45e+11,4.36e+12,-45517413.45,87258419343.0,4.64e+12,0.194603112,-648946271.9,2.78e+11,0.805396888,m_14,-0.141981483
51,3,2.69e-06,3.45e+11,4.36e+12,-930088.7359,87218982016.0,4.64e+12,0.194724184,-13287567.96,2.78e+11,0.805275816,m_14,-0.141981483
52,4,5.57e-08,3.45e+11,4.36e+12,-19234.77157,87218206408.0,4.64e+12,0.194726661,-274861.1853,2.78e+11,0.805273339,m_14,-0.141981483
